year	record	artist	gender	lyrics
1963	"I Left My Heart in San Francisco"	Tony Bennett	Male	The glory that was Rome is of another day I've been terribly alone and forgotten in Manhattan I'm going home to my city by the Bay I left my heart in San Francisco High on a hill, it calls to me To be where little cable cars climb halfway to the stars The morning fog may chill the air, I don't care My love waits there in San Francisco Above the blue and windy sea When I come home to you, San Francisco Your golden sun will shine for me
1963	"Desafinado"	Stan Getz & Charlie Byrd	Male	Rockin' The Suburbs The Ascent Of Stan Pangs of silence From the room upstairs How's the view there? Do you read what they're saying about you? That you're no fun Since the war was won In fact, you have become all of the things you've always run away from The ascent of Stan Textbook hippie man Get rest while you can So where'd the years go? All the time we had? Being poor was not such a drag in hindsight And you wonder why your father was so resigned Now you don't wonder any more The ascent of Stan Textbook hippie man Textbook hippie man Get rest while you can Stan: Once you wanted revolution Stan: Now you're the institution Stan: How's it feel to be the man? It's no fun to be the man And now, watch it all go down The ascent of Stan Textbook hippie man (Stan) Textbook hippie man Get rest while you can Stan: Once you wanted revolution Stan: Now you're the institution Stan: How's it feel to be the man? It's no fun to be the man
1963	"Fly Me to the Moon Bossa Nova"	Joe Harnell and His Orchestra	Unknown	[]
1963	"I Can't Stop Loving You"	Ray Charles	Male	Les plus pauvres sont les plus riches Les oubliés du Bon Dieu Ne sont plus malheureux Ray Charles est-ce que tu le sais ça J'mettais de la peinture noire sur mes dix doigts Pour essayer de jouer hallelujah jouer comme toi Jouer comme ça Partir avec tous tes disques sur une île Dans le Chattanooga choo-choo and just for a thrill I can't stop loving you, me disais-tu Ben j'peux pas m'arrêter de t'aimer non plus J'vivrai toujours dans une danger zone 'Cause I feel so bad if you don't leave my woman alone Et j'vivrai toujours avec Ruby Georgia Marie Ann Tant qu'y aura ce sacré sun qui gonna shine again Ray Charles quand tu pleurniches Les plus pauvres sont les plus riches Sweet sixteen bars même les plus malheureux Sont les enfants du Bon Dieu Ray Charles est-ce que tu le sais ça On verra le monde comme tu voulais qu'il soit D'ailleurs on entend déjà les anges jouer comme ça Jouer comme toi hallelujah Partir avec tous tes disques sur une île Dans le Chattanooga choo-choo and just for a thrill I can't stop loving you, me disais-tu Ben j'peux pas m'arrêter de t'aimer non plus J'vivrai toujours dans une danger zone 'Cause I feel so bad if you don't leave my woman alone Et j'vivrai toujours avec Ruby Georgia Marie Ann Tant qu'y aura ce sacré sun qui gonna shine again Tout l'monde a dansé sur toi Même les cigognes sur les toits Les mots d'amour les plus doux Furent prononcés Sur la lonely avenue, lonely avenue Ray Charles Ray Charles Ray Charles Ray Charles Ray Charles Ray Charles Ray Charles Ray Charles Ray Charles...
1963	"What Kind of Fool Am I?"	Sammy Davis Jr.	Male	Who never fell in love It seems that I'm the only one That I have been thinking of What kind of man is this An empty shell A lonely cell in which An empty heart must dwell What kind of lips are these That lied with every kiss That whispered empty words of love That left me alone like this Why can't I fall in love Like any other man And maybe then I'll know What kind of fool I am What kind of clown am I? What do I know of life? Why can't I cast away This mask of play and live my life Why can't I fall in love Like any other man And maybe then I'll know What kind of fool I am
1964	"Days of Wine and Roses"	Henry Mancini	Male	Through a meadow land toward a closing door A door marked "nevermore" that wasn't there before The lonely night discloses just a passing breeze filled with memories Of the golden smile that introduced me to The days of wine and roses and you (The lonely night discloses) just a passing breeze filled with memories Of the golden smile that introduced me to The days of wine and roses and you-oo-oo
1964	"Dominique"	The Singing Nun	Female	Dominique-nique-nique S’en allait tout simplement Routier, pauvre et chantant En tous chemins, en tous lieux Il ne parle que du Bon Dieu Il ne parle que du Bon Dieu A l’époque où Jean sans Terre D'Angleterre était le roi Dominique, notre Père Combattit les Albigeois Dominique-nique-nique S’en allait tout simplement Routier, pauvre et chantant En tous chemins, en tous lieux Il ne parle que du Bon Dieu Il ne parle que du Bon Dieu  Certain jour un hérétique Par des ronces le conduit Mais notre Père, Dominique Par sa joie le convertit Dominique-nique-nique S’en allait tout simplement Routier, pauvre et chantant En tous chemins, en tous lieux Il ne parle que du Bon Dieu Il ne parle que du Bon Dieu  Ni chameau, ni diligence Il parcourt l’Europe à pied Scandinavie ou Provence Dans la Sainte pauvreté  Dominique-nique-nique S’en allait tout simplement Routier, pauvre et chantant En tous chemins, en tous lieux Il ne parle que du Bon Dieu Il ne parle que du Bon Dieu  Enflamma de toutes écoles Filles et garçons pleins d’ardeur Et pour semer la parole Inventa les Frères Prêcheurs Dominique-nique-nique S’en allait tout simplement Routier, pauvre et chantant En tous chemins, en tous lieux Il ne parle que du Bon Dieu Il ne parle que du Bon Dieu  Chez Dominique et ses frères Le pain s’en vint à manquer Et deux anges se présentèrent Portant deux grands pains dorés  Dominique-nique-nique S’en allait tout simplement Routier, pauvre et chantant En tous chemins, en tous lieux Il ne parle que du Bon Dieu Il ne parle que du Bon Dieu  Dominique vit en rêve Les prêcheurs du monde entier Sous le manteau de la Vierge En grand nombre rassemblés Dominique-nique-nique S’en allait tout simplement Routier, pauvre et chantant En tous chemins, en tous lieux Il ne parle que du Bon Dieu Il ne parle que du Bon Dieu  Dominique, mon bon Père Garde-nous simples et gais Pour annoncer à nos frères La Vie et la Vérité  Dominique-nique-nique S’en allait tout simplement Routier, pauvre et chantant En tous chemins, en tous lieux Il ne parle que du Bon Dieu Il ne parle que du Bon Dieu
1964	"Happy Days Are Here Again"	Barbra Streisand	Female	Go long bad times We are rid of you at last Howdy gay times Cloudy gray times You are now a thing of the past Happy days are here again The skies above are clear again So let's sing a song of cheer again Happy days are here again Altogether shout it now There's no one Who can doubt it now So let's tell the world about it now Happy days are here again Your cares and troubles are gone There'll be no more from now on From now on Happy days are here again The skies above are clear again So, let's sing a song of cheer again Happy times Happy nights Happy days Are here again!
1964	"I Wanna Be Around"	Tony Bennett	Male	When somebody breaks your heart - Some, Somebody twice as smart as I - A somebody who would swear to be true As you used to do with me - Who'll leave you to learn That misery loves company - Wait and see I mean I wanna be around to see how he does it When he breaks your heart to bits - Let's see if that puzzle really fits, so fine - And that's when I'll discover that revenge is sweet As I sit there applauding from a front row seat - When somebody breaks your heart just like you Broke mine When somebody breaks your heart just like you Broke mine - Oh yeah Then... That's when I'll discover that revenge is sweet As I sit there applauding from a front row seat - Somebody breaks your heart, Yes, Like you broke Mine - When somebody breaks your heart like you broke Mine - Oh yeah
1964	"Wives and Lovers"	Jack Jones	Male	Comb your hair, fix your make-up Soon he will open the door Don't think because There's a ring on your finger You needn't try any more For wives should always be lovers, too Run to his arms the moment he comes home to you I'm warning you Day after day There are girls at the office And men will always be men Don't send him off With your hair still in curlers You may not see him again For wives should always be lovers, too Run to his arms the moment he comes home to you He's almost here Hey, little girl Better wear something pretty Something you'd wear to go to the city And dim all the lights Pour the wine, start the music Time to get ready for love Oh, time to get ready Time to get ready Time to get ready For love
1965	"The Girl from Ipanema"	Stan Getz & Astrud Gilberto	Male	Dim-dum-dum, pling-gung-gung, pling-gung-gung  Olha que coisa mais linda, mais cheia de graça É ela a menina que vem e que passa Num doce balanço a caminho do mar Moça do corpo dourado do sol de Ipanema O seu balançado é mais que um poema É a coisa mais linda que eu já vi passar  Ah, por que estou tão sozinho? Ah, por que tudo é tão triste? Ah, a beleza que existe A beleza que não é só minha Que também passa sozinha  Ah, se ela soubesse Que quando ela passa O mundo sorrindo se enche de graça E fica mais lindo por causa do amor  Tall and tan and young and lovely The girl from Ipanema goes walking And when she passes, each one she passes goes "ah!" When she walks she's like a samba that Swings so cool and sways so gently That when she passes, each one she passes goes "ah!" Oh, but he watches her sadly How can he tell her he loves her? Yes, he would give his heart gladly But each day when she walks to the sea She looks straight ahead not at he  Tall and tan and young and lovely The girl from Ipanema goes walking And when she passes he smiles But she doesn't see   Oh, but he sees her so sadly How can he tell her he loves her? Yes, he would give his heart gladly But each day when she walks to the sea She looks straight ahead not at he  Tall and tan and young and lovely The girl from Ipanema goes walking And when she passes he smiles But she doesn't see She just doesn't see No, she doesn't see But she doesn't see She doesn't see No, she doesn't see
